ts,student_id,session_id,mq_id,item_id,lo_ids,pass_fail,attempts,time_ms,error_class,remedial_clicked,marks_awarded,marks_possible
1763303436955,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763304843026,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763304843027,test-student-001,sess-123,mq1,mq1_q2,4|6|9,0,1,8000,client-still-constructs,False,0,2
1763304843028,test-student-001,sess-123,mq1,mq1_q4,3|4,1,1,5000,,False,1,1
1763305633455,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763305640185,test-student-001,sess-123,mq1,mq1_q2,4|6|9,0,1,8000,client-still-constructs,False,0,2
1763305644370,test-student-001,sess-123,mq1,mq1_q4,3|4,1,1,5000,,False,1,1
1763306124037,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763306129148,test-student-001,sess-123,mq1,mq1_q2,4|6|9,0,1,8000,client-still-constructs,False,0,2
1763306134069,test-student-001,sess-123,mq1,mq1_q4,3|4,1,1,5000,,False,1,1
1763307866422,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763308348103,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763310274503,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763310280043,test-student-001,sess-123,mq1,mq1_q2,4|6|9,0,1,8000,client-still-constructs,False,0,2
1763310294535,test-student-001,sess-123,mq1,mq1_q4,3|4,1,1,5000,,False,1,1
1763310339382,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763310345507,test-student-001,sess-123,mq1,mq1_q2,4|6|9,0,1,8000,client-still-constructs,False,0,2
1763310361976,test-student-001,sess-123,mq1,mq1_q4,3|4,1,1,5000,,False,1,1
1763310498324,test-student-001,sess-123,mq1,mq1_q1,1|2|3|4,1,1,12000,,False,2,2
1763310509473,test-student-001,sess-123,mq1,mq1_q2,4|6|9,0,1,8000,client-still-constructs,False,1,2
1763310519063,test-student-001,sess-123,mq1,mq1_q4,3|4,1,1,5000,,False,1,1
